28079001;Pº. Recoletos
28079002;Glta. de Carlos V
28079003;Pza. del Carmen
28079035;Pza. del Carmen
28079004;Pza. de España
28079005;Barrio del Pilar
28079039;Barrio del Pilar
28079006;Pza. Dr. Marañón
28079007;Pza. M. de Salamanca
28079008;Escuelas Aguirre
28079009;Pza. Luca de Tena
28079010;Cuatro Caminos
28079038;Cuatro Caminos
28079011;Av. Ramón y Cajal
28079012;Pza. Manuel Becerra
28079013;Vallecas
28079040;Vallecas
28079014;Pza. Fdez. Ladreda
28079015;Pza. Castilla
28079016;Arturo Soria
28079017;Villaverde Alto
28079018;C/ Farolillo
28079019;Huerta Castañeda
28079020;Moratalaz
28079036;Moratalaz
28079021;Pza. Cristo Rey
28079022;Pº. Pontones
28079023;Final C/ Alcalá
28079024;Casa de Campo
28079025;Santa Eugenia
28079026;Urb. Embajada (Barajas)
28079027;Barajas
28079047;Méndez Álvaro
28079048;Pº. Castellana
28079049;Retiro
28079050;Pza. Castilla
28079054;Ensanche Vallecas
28079055;Urb. Embajada (Barajas)
28079056;Pza. Fdez. Ladreda
28079057;Sanchinarro
28079058;El Pardo
28079059;Parque Juan Carlos I
28079086;Tres Olivos
28079060;Tres Olivos